model,version,accuracy,precision,recall,f1
random_forest,v1.0.0,0.7563368765331153,0.7616580310880829,0.7337770382695508,0.747457627118644
logistic_regression,v1.0.0,0.7064595257563369,0.7093425605536332,0.6821963394342762,0.6955046649703138
decision_tree,v1.0.0,0.6991005723630417,0.6938435940099834,0.6938435940099834,0.6938435940099834
